ar_id,ar_name,ar_school,ar_prefucture,ar_email,ar_order,assigned_school_gr
196,Παλαιά Φώκαια,Άγιος Δημήτριος,Αττική,Παγκράτι,,Παγκράτι
197,Σαλαμίνα,Πειραιάς - Δημ.Θέατρο,Αττική,Πειραιάς - Δημ.Θέατρο,,Παγκράτι
198,Χιλτον (Hilton),Παγκράτι,Αττική,Αμπελόκηποι,,Αμπελόκηποι
199,Ωρωπός,Χαλάνδρι,Αττική,Χαλάνδρι,,Παγκράτι
200,Κάντζα,Αγία Παρασκευή,Αττική,Αγία Παρασκευή,,Παγκράτι
201,Γούβα,Παγκράτι,Αττική,Παγκράτι,106,Παγκράτι
202,Καλλιμάρμαρο,Παγκράτι,Αττική,Παγκράτι,106,Παγκράτι
203,Κάτω Πατήσια,Αμπελόκηποι,Αττική,Αμπελόκηποι,1000,Παγκράτι
204,Ασύρματος,Άγιος Δημήτριος,Αττική,Παγκράτι,,Παγκράτι
205,Κοψαχείλα,Αγιος Δημήτριος,Αττική,Παγκράτι,,Παγκράτι
206,Χρυσούπολη,Περιστέρι,Αττική,Παγκράτι,,Παγκράτι
207,Αρτέμιδα,Αγία Παρασκευή,Αττική,Αγία Παρασκευή,,Παγκράτι
